NO,GAP,TIME,RACE,TIRE,LAP,STINT_LAP
98,1 LAP ,1:48.150,russia2015,Soft,37.0,24.0
5,12.612 ,1:41.113,russia2015,Soft,38.0,8.0
11,21.954 ,1:41.862,russia2015,Soft,38.0,26.0
3,24.094 ,1:42.191,russia2015,Soft,38.0,26.0
77,25.291 ,1:41.919,russia2015,Soft,38.0,12.0
7,25.982 ,1:41.691,russia2015,Soft,38.0,7.0
55,30.332 ,1:42.832,russia2015,Soft,38.0,26.0
26,40.141 ,1:43.708,russia2015,Soft,38.0,5.0
19,41.356 ,1:44.155,russia2015,Super,38.0,8.0
28,1 LAP ,1:49.921,russia2015,Super,37.0,20.0
12,48.274 ,1:42.104,russia2015,Soft,38.0,4.0
22,50.264 ,1:44.706,russia2015,Soft,38.0,26.0
14,51.760 ,1:44.128,russia2015,Super,38.0,25.0
13,52.359 ,1:43.911,russia2015,Super,38.0,8.0
33,55.639 ,1:42.932,russia2015,Super,38.0,14.0
44,0,1:41.051,russia2015,Soft,39.0,7.0
98,1 LAP ,1:45.937,russia2015,Soft,38.0,25.0
5,12.414 ,1:40.853,russia2015,Soft,39.0,9.0
11,22.833 ,1:41.930,russia2015,Soft,39.0,27.0
3,24.964 ,1:41.921,russia2015,Soft,39.0,27.0
77,26.413 ,1:42.173,russia2015,Soft,39.0,13.0
7,27.162 ,1:42.231,russia2015,Soft,39.0,8.0
55,32.220 ,1:42.939,russia2015,Soft,39.0,27.0
26,41.505 ,1:42.415,russia2015,Soft,39.0,6.0
19,42.363 ,1:42.058,russia2015,Super,39.0,9.0
12,49.781 ,1:42.558,russia2015,Soft,39.0,5.0
28,1 LAP ,1:48.233,russia2015,Super,38.0,21.0
22,53.273 ,1:44.060,russia2015,Soft,39.0,27.0
13,54.362 ,1:43.054,russia2015,Super,39.0,9.0
14,56.029 ,1:45.320,russia2015,Super,39.0,26.0
33,57.745 ,1:43.157,russia2015,Super,39.0,15.0
44,0,1:40.726,russia2015,Soft,40.0,8.0
98,1 LAP ,1:45.843,russia2015,Soft,39.0,26.0
5,12.756 ,1:41.068,russia2015,Soft,40.0,10.0
11,24.171 ,1:42.064,russia2015,Soft,40.0,28.0
3,26.234 ,1:41.996,russia2015,Soft,40.0,28.0
77,27.350 ,1:41.663,russia2015,Soft,40.0,14.0
7,27.956 ,1:41.520,russia2015,Soft,40.0,9.0
55,33.833 ,1:42.339,russia2015,Soft,40.0,28.0
26,42.754 ,1:41.975,russia2015,Soft,40.0,7.0
19,43.671 ,1:42.034,russia2015,Super,40.0,10.0
12,51.241 ,1:42.186,russia2015,Soft,40.0,6.0
22,56.498 ,1:43.951,russia2015,Soft,40.0,28.0
13,57.370 ,1:43.734,russia2015,Super,40.0,10.0
14,59.311 ,1:44.008,russia2015,Super,40.0,27.0
33,61.007 ,1:43.988,russia2015,Super,40.0,16.0
28,1 LAP ,1:50.926,russia2015,Super,39.0,22.0
44,0,1:41.100,russia2015,Soft,41.0,9.0
5,12.188 ,1:40.532,russia2015,Soft,41.0,11.0
98,1 LAP ,1:47.581,russia2015,Soft,40.0,27.0
11,24.978 ,1:41.907,russia2015,Soft,41.0,29.0
3,27.174 ,1:42.040,russia2015,Soft,41.0,29.0
77,28.083 ,1:41.833,russia2015,Soft,41.0,15.0
7,28.827 ,1:41.971,russia2015,Soft,41.0,10.0
55,35.010 ,1:42.277,russia2015,Soft,41.0,29.0
26,43.345 ,1:41.691,russia2015,Soft,41.0,8.0
19,44.516 ,1:41.945,russia2015,Super,41.0,11.0
12,51.790 ,1:41.649,russia2015,Soft,41.0,7.0
22,58.993 ,1:43.595,russia2015,Soft,41.0,29.0
13,59.971 ,1:43.701,russia2015,Super,41.0,11.0
14,62.509 ,1:44.298,russia2015,Super,41.0,28.0
33,63.272 ,1:43.365,russia2015,Super,41.0,17.0
28,1 LAP ,1:46.603,russia2015,Super,40.0,23.0
44,0,1:41.907,russia2015,Soft,42.0,10.0
5,11.435 ,1:41.154,russia2015,Soft,42.0,12.0
98,1 LAP ,1:45.556,russia2015,Soft,41.0,28.0
11,25.224 ,1:42.153,russia2015,Soft,42.0,30.0
3,27.155 ,1:41.888,russia2015,Soft,42.0,30.0
77,28.138 ,1:41.962,russia2015,Soft,42.0,16.0
7,29.324 ,1:42.404,russia2015,Soft,42.0,11.0
55,35.691 ,1:42.588,russia2015,Soft,42.0,30.0
19,44.738 ,1:42.129,russia2015,Super,42.0,12.0
26,45.746 ,1:44.308,russia2015,Soft,42.0,9.0
12,51.720 ,1:41.837,russia2015,Soft,42.0,8.0
13,60.659 ,1:42.595,russia2015,Super,42.0,12.0
22,62.276 ,1:45.190,russia2015,Soft,42.0,30.0
14,64.211 ,1:43.609,russia2015,Super,42.0,29.0
33,65.396 ,1:44.031,russia2015,Super,42.0,18.0
28,1 LAP ,1:46.353,russia2015,Super,41.0,24.0
44,0,1:40.573,russia2015,Soft,43.0,11.0
5,11.785 ,1:40.923,russia2015,Soft,43.0,13.0
11,26.675 ,1:42.024,russia2015,Soft,43.0,31.0
3,28.993 ,1:42.411,russia2015,Soft,43.0,31.0
77,29.559 ,1:41.994,russia2015,Soft,43.0,17.0
7,30.818 ,1:42.067,russia2015,Soft,43.0,12.0
98,1 LAP ,1:50.384,russia2015,Soft,42.0,29.0
55,37.376 ,1:42.258,russia2015,Soft,43.0,31.0
19,45.161 ,1:40.996,russia2015,Super,43.0,13.0
26,47.695 ,1:42.522,russia2015,Soft,43.0,10.0
12,52.745 ,1:41.598,russia2015,Soft,43.0,9.0
13,62.238 ,1:42.152,russia2015,Super,43.0,13.0
22,65.326 ,1:43.623,russia2015,Soft,43.0,31.0
14,67.098 ,1:43.460,russia2015,Super,43.0,30.0
33,69.419 ,1:44.596,russia2015,Super,43.0,19.0
28,1 LAP ,1:46.165,russia2015,Super,42.0,25.0
44,0,1:40.773,russia2015,Soft,44.0,12.0
5,11.822 ,1:40.810,russia2015,Soft,44.0,14.0
11,28.051 ,1:42.149,russia2015,Soft,44.0,32.0
77,29.920 ,1:41.134,russia2015,Soft,44.0,18.0
3,31.036 ,1:42.816,russia2015,Soft,44.0,32.0
7,31.563 ,1:41.518,russia2015,Soft,44.0,13.0
98,1 LAP ,1:45.834,russia2015,Soft,43.0,30.0
19,46.051 ,1:41.663,russia2015,Super,44.0,14.0
26,50.221 ,1:43.299,russia2015,Soft,44.0,11.0
55,54.247 ,1:57.644,russia2015,Soft,44.0,32.0
12,54.994 ,1:43.022,russia2015,Soft,44.0,10.0
13,63.349 ,1:41.884,russia2015,Super,44.0,14.0
22,68.304 ,1:43.751,russia2015,Soft,44.0,32.0
14,69.590 ,1:43.265,russia2015,Super,44.0,31.0
33,72.545 ,1:43.899,russia2015,Super,44.0,20.0
28,1 LAP ,1:45.910,russia2015,Super,43.0,26.0
44,0,1:40.693,russia2015,Soft,45.0,13.0
5,12.019 ,1:40.890,russia2015,Soft,45.0,15.0
11,29.268 ,1:41.910,russia2015,Soft,45.0,33.0
77,30.371 ,1:41.144,russia2015,Soft,45.0,19.0
3,33.181 ,1:42.838,russia2015,Soft,45.0,33.0
7,34.141 ,1:43.271,russia2015,Soft,45.0,14.0
98,1 LAP ,1:45.522,russia2015,Soft,44.0,31.0
19,46.255 ,1:40.897,russia2015,Super,45.0,15.0
26,51.966 ,1:42.438,russia2015,Soft,45.0,12.0
12,57.793 ,1:43.492,russia2015,Soft,45.0,11.0
13,65.159 ,1:42.503,russia2015,Super,45.0,15.0
22,71.780 ,1:44.169,russia2015,Soft,45.0,33.0
14,73.145 ,1:44.248,russia2015,Super,45.0,32.0
33,75.711 ,1:43.859,russia2015,Super,45.0,21.0
28,1 LAP ,1:46.015,russia2015,Super,44.0,27.0
44,0,1:42.205,russia2015,Soft,46.0,14.0
5,11.663 ,1:41.849,russia2015,Soft,46.0,16.0
11,28.966 ,1:41.903,russia2015,Soft,46.0,34.0
77,29.813 ,1:41.647,russia2015,Soft,46.0,20.0
3,34.158 ,1:43.182,russia2015,Soft,46.0,34.0
7,34.654 ,1:42.718,russia2015,Soft,46.0,15.0
19,46.244 ,1:42.194,russia2015,Super,46.0,16.0
98,1 LAP ,1:47.661,russia2015,Soft,45.0,32.0
26,51.784 ,1:42.023,russia2015,Soft,46.0,13.0
12,57.954 ,1:42.366,russia2015,Soft,46.0,12.0
13,65.292 ,1:42.338,russia2015,Super,46.0,16.0
22,73.756 ,1:44.181,russia2015,Soft,46.0,34.0
14,75.597 ,1:44.657,russia2015,Super,46.0,33.0
33,77.603 ,1:44.097,russia2015,Super,46.0,22.0
28,1 LAP ,1:46.161,russia2015,Super,45.0,28.0
44,0,1:42.140,russia2015,Soft,47.0,15.0
5,11.037 ,1:41.514,russia2015,Soft,47.0,17.0
11,28.598 ,1:41.772,russia2015,Soft,47.0,35.0
77,29.529 ,1:41.856,russia2015,Soft,47.0,21.0
7,32.808 ,1:40.294,russia2015,Soft,47.0,16.0
19,44.985 ,1:40.881,russia2015,Super,47.0,17.0
26,51.773 ,1:42.129,russia2015,Soft,47.0,14.0
98,1 LAP ,1:50.209,russia2015,Soft,46.0,33.0
12,58.690 ,1:42.876,russia2015,Soft,47.0,13.0
13,64.993 ,1:41.841,russia2015,Super,47.0,17.0
22,75.835 ,1:44.219,russia2015,Soft,47.0,35.0
14,77.423 ,1:43.966,russia2015,Super,47.0,34.0
33,79.503 ,1:44.040,russia2015,Super,47.0,23.0
28,1 LAP ,1:46.028,russia2015,Super,46.0,29.0
44,0,1:42.176,russia2015,Soft,48.0,16.0
5,10.879 ,1:42.018,russia2015,Soft,48.0,18.0
11,28.393 ,1:41.971,russia2015,Soft,48.0,36.0
77,29.245 ,1:41.892,russia2015,Soft,48.0,22.0
7,31.647 ,1:41.015,russia2015,Soft,48.0,17.0
19,43.865 ,1:41.056,russia2015,Super,48.0,18.0
26,52.054 ,1:42.457,russia2015,Soft,48.0,15.0
98,1 LAP ,1:45.780,russia2015,Soft,47.0,34.0
12,59.322 ,1:42.808,russia2015,Soft,48.0,14.0
13,64.440 ,1:41.623,russia2015,Super,48.0,18.0
22,77.446 ,1:43.787,russia2015,Soft,48.0,36.0
14,79.327 ,1:44.080,russia2015,Super,48.0,35.0
33,81.314 ,1:43.987,russia2015,Super,48.0,24.0
28,1 LAP ,1:45.607,russia2015,Super,47.0,30.0
44,0,1:42.739,russia2015,Soft,49.0,17.0
5,11.057 ,1:42.917,russia2015,Soft,49.0,19.0
11,27.579 ,1:41.925,russia2015,Soft,49.0,37.0
77,28.483 ,1:41.977,russia2015,Soft,49.0,23.0
7,30.067 ,1:41.159,russia2015,Soft,49.0,18.0
19,42.511 ,1:41.385,russia2015,Super,49.0,19.0
26,52.067 ,1:42.752,russia2015,Soft,49.0,16.0
12,59.408 ,1:42.825,russia2015,Soft,49.0,15.0
13,64.312 ,1:42.611,russia2015,Super,49.0,19.0
98,1 LAP ,1:49.013,russia2015,Soft,48.0,35.0
22,78.604 ,1:43.897,russia2015,Soft,49.0,37.0
14,81.173 ,1:44.585,russia2015,Super,49.0,36.0
33,82.708 ,1:44.133,russia2015,Super,49.0,25.0
44,0,1:42.766,russia2015,Soft,50.0,18.0
28,2 LAPS ,1:48.493,russia2015,Super,48.0,31.0
5,8.362 ,1:40.071,russia2015,Soft,50.0,20.0
11,26.697 ,1:41.884,russia2015,Soft,50.0,38.0
77,27.376 ,1:41.659,russia2015,Soft,50.0,24.0
7,27.893 ,1:40.592,russia2015,Soft,50.0,19.0
19,40.742 ,1:40.997,russia2015,Super,50.0,20.0
26,50.889 ,1:41.588,russia2015,Soft,50.0,17.0
12,58.919 ,1:42.277,russia2015,Soft,50.0,16.0
13,63.066 ,1:41.520,russia2015,Super,50.0,20.0
98,1 LAP ,1:45.049,russia2015,Soft,49.0,36.0
22,79.646 ,1:43.808,russia2015,Soft,50.0,38.0
14,82.104 ,1:43.697,russia2015,Super,50.0,37.0
33,84.872 ,1:44.930,russia2015,Super,50.0,26.0
44,0,1:42.714,russia2015,Soft,51.0,19.0
28,2 LAPS ,1:44.926,russia2015,Super,49.0,32.0
5,7.504 ,1:41.856,russia2015,Soft,51.0,21.0
77,26.800 ,1:42.138,russia2015,Soft,51.0,25.0
7,27.266 ,1:42.087,russia2015,Soft,51.0,20.0
11,28.642 ,1:44.659,russia2015,Soft,51.0,39.0
19,39.237 ,1:41.209,russia2015,Super,51.0,21.0
26,49.547 ,1:41.372,russia2015,Soft,51.0,18.0
12,57.712 ,1:41.507,russia2015,Soft,51.0,17.0
13,62.756 ,1:42.404,russia2015,Super,51.0,21.0
98,1 LAP ,1:46.526,russia2015,Soft,50.0,37.0
22,80.619 ,1:43.687,russia2015,Soft,51.0,39.0
14,84.596 ,1:45.206,russia2015,Super,51.0,38.0
33,86.780 ,1:44.622,russia2015,Super,51.0,27.0
44,0,1:44.220,russia2015,Soft,52.0,20.0
5,5.953 ,1:42.669,russia2015,Soft,52.0,22.0
28,2 LAPS ,1:47.384,russia2015,Super,50.0,33.0
11,28.918 ,1:44.496,russia2015,Soft,52.0,40.0
19,38.831 ,1:43.814,russia2015,Super,52.0,22.0
7,42.358 ,1:59.312,russia2015,Soft,52.0,21.0
26,47.566 ,1:42.239,russia2015,Soft,52.0,19.0
12,56.508 ,1:43.016,russia2015,Soft,52.0,18.0
13,61.088 ,1:42.552,russia2015,Super,52.0,22.0
98,1 LAP ,1:45.775,russia2015,Soft,51.0,38.0
22,79.467 ,1:43.068,russia2015,Soft,52.0,40.0
14,86.210 ,1:45.834,russia2015,Super,52.0,39.0
33,88.424 ,1:45.864,russia2015,Super,52.0,28.0
44,0,1:58.693,usa2015,Intermediate,0.0,0.0
26,1.406 ,2:00.099,usa2015,Intermediate,0.0,0.0
3,2.192 ,2:00.885,usa2015,Intermediate,0.0,0.0
6,2.957 ,2:01.650,usa2015,Intermediate,0.0,0.0
11,3.904 ,2:02.597,usa2015,Intermediate,0.0,0.0
27,4.377 ,2:03.070,usa2015,Intermediate,0.0,0.0
5,5.018 ,2:03.711,usa2015,Intermediate,0.0,0.0
33,5.973 ,2:04.666,usa2015,Intermediate,0.0,0.0
22,6.530 ,2:05.223,usa2015,Intermediate,0.0,0.0
7,7.167 ,2:05.860,usa2015,Intermediate,0.0,0.0
55,8.071 ,2:06.764,usa2015,Intermediate,0.0,0.0
9,11.199 ,2:09.892,usa2015,Intermediate,0.0,0.0
77,PIT  ,2:10.102,usa2015,Intermediate,0.0,0.0
12,11.566 ,2:10.259,usa2015,Intermediate,0.0,0.0
19,11.993 ,2:10.686,usa2015,Intermediate,0.0,0.0
13,12.729 ,2:11.422,usa2015,Intermediate,0.0,0.0
8,PIT  ,2:38.246,usa2015,Intermediate,0.0,0.0
53,PIT  ,2:50.794,usa2015,Intermediate,0.0,0.0
14,PIT  ,2:51.512,usa2015,Intermediate,0.0,0.0
28,PIT  ,3:02.097,usa2015,Intermediate,0.0,0.0
44,0,1:57.277,usa2015,Intermediate,1.0,1.0
26,1.267 ,1:57.138,usa2015,Intermediate,1.0,1.0
3,2.320 ,1:57.405,usa2015,Intermediate,1.0,1.0
6,4.396 ,1:58.716,usa2015,Intermediate,1.0,1.0
11,5.889 ,1:59.262,usa2015,Intermediate,1.0,1.0
27,6.726 ,1:59.626,usa2015,Intermediate,1.0,1.0
5,7.138 ,1:59.397,usa2015,Intermediate,1.0,1.0
33,7.834 ,1:59.138,usa2015,Intermediate,1.0,1.0
7,9.000 ,1:59.110,usa2015,Intermediate,1.0,1.0
55,10.123 ,1:59.329,usa2015,Intermediate,1.0,1.0
22,11.292 ,2:02.039,usa2015,Intermediate,1.0,1.0
9,14.684 ,2:00.762,usa2015,Intermediate,1.0,1.0
19,15.532 ,2:00.816,usa2015,Intermediate,1.0,1.0
13,19.038 ,2:03.586,usa2015,Intermediate,1.0,1.0
12,PIT  ,2:09.911,usa2015,Intermediate,1.0,1.0
8,66.857 ,2:24.581,usa2015,Intermediate,1.0,0.0
77,79.873 ,3:05.741,usa2015,Soft,1.0,0.0
14,82.736 ,2:27.194,usa2015,Intermediate,1.0,0.0
53,91.628 ,2:36.804,usa2015,Intermediate,1.0,0.0
44,0,1:57.404,usa2015,Intermediate,2.0,2.0
26,0.731 ,1:56.868,usa2015,Intermediate,2.0,2.0
3,1.966 ,1:57.050,usa2015,Intermediate,2.0,2.0
6,4.456 ,1:57.464,usa2015,Intermediate,2.0,2.0
11,7.313 ,1:58.828,usa2015,Intermediate,2.0,2.0
27,8.299 ,1:58.977,usa2015,Intermediate,2.0,2.0
5,8.793 ,1:59.059,usa2015,Intermediate,2.0,2.0
33,9.485 ,1:59.055,usa2015,Intermediate,2.0,2.0
7,10.219 ,1:58.623,usa2015,Intermediate,2.0,2.0
55,11.404 ,1:58.685,usa2015,Intermediate,2.0,2.0
22,14.305 ,2:00.417,usa2015,Intermediate,2.0,2.0
9,16.719 ,1:59.439,usa2015,Intermediate,2.0,2.0
19,17.523 ,1:59.395,usa2015,Intermediate,2.0,2.0
13,21.389 ,1:59.755,usa2015,Intermediate,2.0,2.0
8,70.092 ,2:00.639,usa2015,Intermediate,2.0,1.0
14,85.724 ,2:00.392,usa2015,Intermediate,2.0,1.0
12,PIT  ,3:02.021,usa2015,Soft,2.0,0.0
53,97.113 ,2:02.889,usa2015,Intermediate,2.0,1.0
77,114.408 ,2:31.939,usa2015,Soft,2.0,1.0
44,0,1:58.083,usa2015,Intermediate,3.0,3.0
26,0.351 ,1:57.703,usa2015,Intermediate,3.0,3.0
3,1.545 ,1:57.662,usa2015,Intermediate,3.0,3.0
6,4.581 ,1:58.208,usa2015,Intermediate,3.0,3.0
11,8.694 ,1:59.464,usa2015,Intermediate,3.0,3.0
5,10.211 ,1:59.501,usa2015,Intermediate,3.0,3.0
27,11.026 ,2:00.810,usa2015,Intermediate,3.0,3.0
33,11.202 ,1:59.800,usa2015,Intermediate,3.0,3.0
7,11.883 ,1:59.747,usa2015,Intermediate,3.0,3.0
55,12.479 ,1:59.158,usa2015,Intermediate,3.0,3.0
22,17.086 ,2:00.864,usa2015,Intermediate,3.0,3.0
9,18.047 ,1:59.411,usa2015,Intermediate,3.0,3.0
19,19.707 ,2:00.267,usa2015,Intermediate,3.0,3.0
13,23.488 ,2:00.182,usa2015,Intermediate,3.0,3.0
8,73.749 ,2:01.740,usa2015,Intermediate,3.0,2.0
14,88.168 ,2:00.527,usa2015,Intermediate,3.0,2.0
53,102.586 ,2:03.556,usa2015,Intermediate,3.0,2.0
12,114.591 ,2:23.857,usa2015,Intermediate,3.0,0.0
44,0,2:05.181,usa2015,Intermediate,4.0,4.0
26,1.416 ,2:06.246,usa2015,Intermediate,4.0,4.0
3,4.906 ,2:08.542,usa2015,Intermediate,4.0,4.0
6,7.001 ,2:07.601,usa2015,Intermediate,4.0,4.0
11,10.097 ,2:06.584,usa2015,Intermediate,4.0,4.0
5,12.367 ,2:07.337,usa2015,Intermediate,4.0,4.0
33,13.586 ,2:07.565,usa2015,Intermediate,4.0,4.0
7,16.640 ,2:09.938,usa2015,Intermediate,4.0,4.0
55,17.433 ,2:10.135,usa2015,Intermediate,4.0,4.0
27,18.233 ,2:12.388,usa2015,Intermediate,4.0,4.0
22,20.803 ,2:08.898,usa2015,Intermediate,4.0,4.0
9,21.904 ,2:09.038,usa2015,Intermediate,4.0,4.0
19,24.342 ,2:09.816,usa2015,Intermediate,4.0,4.0
13,26.977 ,2:08.670,usa2015,Intermediate,4.0,4.0
77,PIT  ,2:46.130,usa2015,Soft,3.0,2.0
8,85.141 ,2:16.573,usa2015,Intermediate,4.0,3.0
14,98.136 ,2:15.149,usa2015,Intermediate,4.0,3.0
53,114.918 ,2:17.513,usa2015,Intermediate,4.0,3.0
12,128.840 ,2:19.430,usa2015,Intermediate,4.0,1.0
44,0,2:17.859,usa2015,Intermediate,5.0,5.0
26,1.163 ,2:17.606,usa2015,Intermediate,5.0,5.0
3,3.921 ,2:16.874,usa2015,Intermediate,5.0,5.0
6,4.664 ,2:15.522,usa2015,Intermediate,5.0,5.0
11,8.143 ,2:15.905,usa2015,Intermediate,5.0,5.0
5,10.799 ,2:16.291,usa2015,Intermediate,5.0,5.0
33,13.235 ,2:17.508,usa2015,Intermediate,5.0,5.0
7,14.812 ,2:16.031,usa2015,Intermediate,5.0,5.0
55,15.676 ,2:16.102,usa2015,Intermediate,5.0,5.0
27,16.996 ,2:16.622,usa2015,Intermediate,5.0,5.0
22,20.108 ,2:17.164,usa2015,Intermediate,5.0,5.0
9,20.859 ,2:16.814,usa2015,Intermediate,5.0,5.0
19,24.544 ,2:18.061,usa2015,Intermediate,5.0,5.0
13,26.359 ,2:17.241,usa2015,Intermediate,5.0,5.0
77,PIT  ,2:34.823,usa2015,Intermediate,4.0,0.0
8,85.391 ,2:18.109,usa2015,Intermediate,5.0,4.0
14,97.826 ,2:17.549,usa2015,Intermediate,5.0,4.0
53,114.976 ,2:17.917,usa2015,Intermediate,5.0,4.0
12,128.736 ,2:17.755,usa2015,Intermediate,5.0,2.0
44,0,2:17.016,usa2015,Intermediate,6.0,6.0
26,0.895 ,2:16.748,usa2015,Intermediate,6.0,6.0
3,1.838 ,2:14.933,usa2015,Intermediate,6.0,6.0
6,2.730 ,2:15.082,usa2015,Intermediate,6.0,6.0
11,9.544 ,2:18.417,usa2015,Intermediate,6.0,6.0
5,12.856 ,2:19.073,usa2015,Intermediate,6.0,6.0
33,14.073 ,2:17.854,usa2015,Intermediate,6.0,6.0
7,16.110 ,2:18.314,usa2015,Intermediate,6.0,6.0
55,16.887 ,2:18.227,usa2015,Intermediate,6.0,6.0
27,17.211 ,2:17.231,usa2015,Intermediate,6.0,6.0
22,19.040 ,2:15.948,usa2015,Intermediate,6.0,6.0
9,20.323 ,2:16.480,usa2015,Intermediate,6.0,6.0
19,23.740 ,2:16.212,usa2015,Intermediate,6.0,6.0
13,28.114 ,2:18.771,usa2015,Intermediate,6.0,6.0
8,81.128 ,2:12.753,usa2015,Intermediate,6.0,5.0
14,88.621 ,2:07.811,usa2015,Intermediate,6.0,5.0
53,106.177 ,2:08.217,usa2015,Intermediate,6.0,5.0
12,115.768 ,2:04.048,usa2015,Intermediate,6.0,3.0
44,0,2:04.793,usa2015,Intermediate,7.0,7.0
6,0.773 ,2:02.836,usa2015,Intermediate,7.0,7.0
26,1.358 ,2:05.256,usa2015,Intermediate,7.0,7.0
3,2.272 ,2:05.227,usa2015,Intermediate,7.0,7.0
11,7.795 ,2:03.044,usa2015,Intermediate,7.0,7.0
5,9.134 ,2:01.071,usa2015,Intermediate,7.0,7.0
33,10.581 ,2:01.301,usa2015,Intermediate,7.0,7.0
7,11.752 ,2:00.435,usa2015,Intermediate,7.0,7.0
55,12.960 ,2:00.866,usa2015,Intermediate,7.0,7.0
27,15.528 ,2:03.110,usa2015,Intermediate,7.0,7.0
9,16.546 ,2:01.016,usa2015,Intermediate,7.0,7.0
22,17.968 ,2:03.721,usa2015,Intermediate,7.0,7.0
19,19.889 ,2:00.942,usa2015,Intermediate,7.0,7.0
13,26.409 ,2:03.088,usa2015,Intermediate,7.0,7.0
8,75.947 ,1:59.612,usa2015,Intermediate,7.0,6.0
14,82.162 ,1:58.334,usa2015,Intermediate,7.0,6.0
53,103.212 ,2:01.828,usa2015,Intermediate,7.0,6.0
12,110.404 ,1:59.429,usa2015,Intermediate,7.0,4.0
44,0,1:57.076,usa2015,Intermediate,8.0,8.0
6,0.859 ,1:57.162,usa2015,Intermediate,8.0,8.0
26,1.463 ,1:57.181,usa2015,Intermediate,8.0,8.0
3,2.126 ,1:56.930,usa2015,Intermediate,8.0,8.0
11,8.960 ,1:58.241,usa2015,Intermediate,8.0,8.0
5,9.470 ,1:57.412,usa2015,Intermediate,8.0,8.0
33,10.755 ,1:57.250,usa2015,Intermediate,8.0,8.0
7,12.126 ,1:57.450,usa2015,Intermediate,8.0,8.0
55,13.076 ,1:57.192,usa2015,Intermediate,8.0,8.0
27,16.175 ,1:57.723,usa2015,Intermediate,8.0,8.0
9,18.881 ,1:59.411,usa2015,Intermediate,8.0,8.0
22,21.457 ,2:00.565,usa2015,Intermediate,8.0,8.0
19,22.028 ,1:59.215,usa2015,Intermediate,8.0,8.0
13,30.429 ,2:01.096,usa2015,Intermediate,8.0,8.0
8,PIT  ,2:01.697,usa2015,Intermediate,8.0,7.0
14,84.061 ,1:58.975,usa2015,Intermediate,8.0,7.0
53,108.743 ,2:02.607,usa2015,Intermediate,8.0,7.0
12,113.071 ,1:59.743,usa2015,Intermediate,8.0,5.0
44,0,1:57.812,usa2015,Intermediate,9.0,9.0
6,1.230 ,1:58.183,usa2015,Intermediate,9.0,9.0
26,1.574 ,1:57.923,usa2015,Intermediate,9.0,9.0
3,2.184 ,1:57.870,usa2015,Intermediate,9.0,9.0
11,9.298 ,1:58.150,usa2015,Intermediate,9.0,9.0
5,9.853 ,1:58.195,usa2015,Intermediate,9.0,9.0
33,10.896 ,1:57.953,usa2015,Intermediate,9.0,9.0
7,12.086 ,1:57.772,usa2015,Intermediate,9.0,9.0
55,12.633 ,1:57.369,usa2015,Intermediate,9.0,9.0
27,15.934 ,1:57.571,usa2015,Intermediate,9.0,9.0
9,20.412 ,1:59.343,usa2015,Intermediate,9.0,9.0
22,23.077 ,1:59.432,usa2015,Intermediate,9.0,9.0
19,24.025 ,1:59.809,usa2015,Intermediate,9.0,9.0
13,33.146 ,2:00.529,usa2015,Intermediate,9.0,9.0
14,85.808 ,1:59.559,usa2015,Intermediate,9.0,8.0
53,113.838 ,2:02.907,usa2015,Intermediate,9.0,8.0
12,115.643 ,2:00.384,usa2015,Intermediate,9.0,6.0
44,0,1:58.280,usa2015,Intermediate,10.0,10.0
6,1.099 ,1:58.149,usa2015,Intermediate,10.0,10.0
26,1.591 ,1:58.297,usa2015,Intermediate,10.0,10.0
3,2.124 ,1:58.220,usa2015,Intermediate,10.0,10.0
11,9.215 ,1:58.197,usa2015,Intermediate,10.0,10.0
5,10.056 ,1:58.483,usa2015,Intermediate,10.0,10.0
33,10.667 ,1:58.051,usa2015,Intermediate,10.0,10.0
7,11.882 ,1:58.076,usa2015,Intermediate,10.0,10.0
55,12.564 ,1:58.211,usa2015,Intermediate,10.0,10.0
27,15.980 ,1:58.326,usa2015,Intermediate,10.0,10.0
8,PIT  ,2:54.693,usa2015,Soft,9.0,0.0
9,22.759 ,2:00.627,usa2015,Intermediate,10.0,10.0
19,24.779 ,1:59.034,usa2015,Intermediate,10.0,10.0
22,25.681 ,2:00.884,usa2015,Intermediate,10.0,10.0
13,35.353 ,2:00.487,usa2015,Intermediate,10.0,10.0
14,86.992 ,1:59.464,usa2015,Intermediate,10.0,9.0
44,0,1:59.224,usa2015,Intermediate,11.0,11.0
6,0.844 ,1:58.969,usa2015,Intermediate,11.0,11.0
26,1.028 ,1:58.661,usa2015,Intermediate,11.0,11.0
3,1.114 ,1:58.214,usa2015,Intermediate,11.0,11.0
53,1 LAP ,2:06.501,usa2015,Intermediate,10.0,9.0
12,1 LAP ,2:05.082,usa2015,Intermediate,10.0,7.0
11,8.710 ,1:58.719,usa2015,Intermediate,11.0,11.0
5,9.257 ,1:58.425,usa2015,Intermediate,11.0,11.0
33,9.735 ,1:58.292,usa2015,Intermediate,11.0,11.0
7,10.471 ,1:57.813,usa2015,Intermediate,11.0,11.0
55,10.970 ,1:57.630,usa2015,Intermediate,11.0,11.0
27,13.891 ,1:57.135,usa2015,Intermediate,11.0,11.0
9,23.347 ,1:59.812,usa2015,Intermediate,11.0,11.0
19,24.019 ,1:58.464,usa2015,Intermediate,11.0,11.0
22,26.168 ,1:59.711,usa2015,Intermediate,11.0,11.0
13,36.184 ,2:00.055,usa2015,Intermediate,11.0,11.0
14,87.865 ,2:00.097,usa2015,Intermediate,11.0,10.0
